Date,Vendor,Product,Brand,Price,Grams,Price Per 100g
2024-05-23,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-24,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.79,800,0.59875
2024-05-24,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-24,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-25,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.79,800,0.59875
2024-05-25,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-26,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.79,800,0.59875
2024-05-26,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-26,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-26,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-27,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.79,800,0.59875
2024-05-27,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-27,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-27,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-28,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.79,800,0.59875
2024-05-28,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-28,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-28,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-29,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.79,800,0.59875
2024-05-29,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-29,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-30,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.79,800,0.59875
